USER_ANSWER_ID,USER_ID,CHOICE_ID
USER_ANSWER_ID_1,USER_ID_1,CHOICE_ID_4
USER_ANSWER_ID_2,USER_ID_1,CHOICE_ID_6
USER_ANSWER_ID_3,USER_ID_1,CHOICE_ID_9
USER_ANSWER_ID_4,USER_ID_1,CHOICE_ID_16
USER_ANSWER_ID_5,USER_ID_1,CHOICE_ID_17
USER_ANSWER_ID_10,USER_ID_2,CHOICE_ID_17
USER_ANSWER_ID_6,USER_ID_2,CHOICE_ID_1
USER_ANSWER_ID_7,USER_ID_2,CHOICE_ID_5
USER_ANSWER_ID_8,USER_ID_2,CHOICE_ID_10
USER_ANSWER_ID_9,USER_ID_2,CHOICE_ID_16
USER_ANSWER_ID_11,USER_ID_3,CHOICE_ID_4
USER_ANSWER_ID_12,USER_ID_3,CHOICE_ID_7
USER_ANSWER_ID_13,USER_ID_3,CHOICE_ID_11
USER_ANSWER_ID_14,USER_ID_3,CHOICE_ID_16
USER_ANSWER_ID_15,USER_ID_3,CHOICE_ID_18
USER_ANSWER_ID_16,USER_ID_4,CHOICE_ID_3
USER_ANSWER_ID_17,USER_ID_4,CHOICE_ID_5
USER_ANSWER_ID_18,USER_ID_4,CHOICE_ID_9
USER_ANSWER_ID_19,USER_ID_4,CHOICE_ID_16
USER_ANSWER_ID_20,USER_ID_4,CHOICE_ID_17
USER_ANSWER_ID_21,USER_ID_5,CHOICE_ID_4
USER_ANSWER_ID_22,USER_ID_5,CHOICE_ID_6
USER_ANSWER_ID_23,USER_ID_5,CHOICE_ID_11
USER_ANSWER_ID_24,USER_ID_5,CHOICE_ID_16
USER_ANSWER_ID_25,USER_ID_5,CHOICE_ID_17
